n_tasks,Tokens NER,Tokens Aux,Alpha,AMI,fscore,std_fscore
1,1000,2000,0.97,0.8,0.04,0
2,1000,2000,0.97,0.8,0.1,0.01
3,1000,2000,0.97,0.8,0.18,0.03
4,1000,2000,0.97,0.8,0.33,0.05
5,1000,2000,0.97,0.8,0.41,0.03
6,1000,2000,0.97,0.8,0.43,0.02
7,1000,2000,0.97,0.8,0.47,0.09
8,1000,2000,0.97,0.8,0.48,0.05
9,1000,2000,0.97,0.8,0.48,0.02
10,1000,2000,0.97,0.8,0.47,0.07
1,1000,2000,0.92,0.61,0.03,0
2,1000,2000,0.92,0.61,0.08,0.01
3,1000,2000,0.92,0.61,0.13,0.03
4,1000,2000,0.92,0.61,0.23,0
5,1000,2000,0.92,0.61,0.29,0.02
6,1000,2000,0.92,0.61,0.34,0.03
7,1000,2000,0.92,0.61,0.37,0.03
8,1000,2000,0.92,0.61,0.39,0.03
9,1000,2000,0.92,0.61,0.39,0.04
10,1000,2000,0.92,0.61,0.4,0.03
1,1000,2000,0.95,0.71,0.03,0
2,1000,2000,0.95,0.71,0.11,0.01
3,1000,2000,0.95,0.71,0.15,0.03
4,1000,2000,0.95,0.71,0.29,0.02
5,1000,2000,0.95,0.71,0.37,0.03
6,1000,2000,0.95,0.71,0.36,0.04
7,1000,2000,0.95,0.71,0.41,0.03
8,1000,2000,0.95,0.71,0.41,0.02
9,1000,2000,0.95,0.71,0.46,0.03
10,1000,2000,0.95,0.71,0.44,0.01
1,1000,2000,0.99,0.91,0.03,0
2,1000,2000,0.99,0.91,0.13,0.01
3,1000,2000,0.99,0.91,0.21,0.02
4,1000,2000,0.99,0.91,0.42,0.02
5,1000,2000,0.99,0.91,0.47,0.02
6,1000,2000,0.99,0.91,0.46,0.03
7,1000,2000,0.99,0.91,0.51,0.02
8,1000,2000,0.99,0.91,0.51,0.02
9,1000,2000,0.99,0.91,0.55,0.03
10,1000,2000,0.99,0.91,0.5,0.06
11,1000,2000,0.99,0.91,0.54,0.04
12,1000,2000,0.99,0.91,0.58,0.02
13,1000,2000,0.99,0.91,0.58,0.02
14,1000,2000,0.99,0.91,0.55,0.08
15,1000,2000,0.99,0.91,0.61,0.01
1,1000,2000,0.9,0.55,0.03,0
2,1000,2000,0.9,0.55,0.08,0.01
3,1000,2000,0.9,0.55,0.12,0.01
4,1000,2000,0.9,0.55,0.22,0.02
5,1000,2000,0.9,0.55,0.31,0.03
6,1000,2000,0.9,0.55,0.32,0.02
7,1000,2000,0.9,0.55,0.36,0.02
8,1000,2000,0.9,0.55,0.36,0.04
9,1000,2000,0.9,0.55,0.38,0.02
10,1000,2000,0.9,0.55,0.41,0.03
1,1000,2000,0.85,0.43,0.03,0.01
2,1000,2000,0.85,0.43,0.07,0.01
3,1000,2000,0.85,0.43,0.1,0.01
4,1000,2000,0.85,0.43,0.14,0.02
5,1000,2000,0.85,0.43,0.22,0.02
6,1000,2000,0.85,0.43,0.27,0.04
7,1000,2000,0.85,0.43,0.3,0.03
8,1000,2000,0.85,0.43,0.29,0.03
9,1000,2000,0.85,0.43,0.32,0.02
10,1000,2000,0.85,0.43,0.33,0.02
1,1000,2000,0.7,0.22,0.03,0
2,1000,2000,0.7,0.22,0.05,0
3,1000,2000,0.7,0.22,0.06,0.01
4,1000,2000,0.7,0.22,0.11,0.02
5,1000,2000,0.7,0.22,0.17,0.01
6,1000,2000,0.7,0.22,0.21,0.01
7,1000,2000,0.7,0.22,0.21,0.03
8,1000,2000,0.7,0.22,0.2,0.01
9,1000,2000,0.7,0.22,0.22,0.01
10,1000,2000,0.7,0.22,0.22,0.02
1,1000,2000,0.6,0.13,0.03,0
2,1000,2000,0.6,0.13,0.04,0
3,1000,2000,0.6,0.13,0.05,0
4,1000,2000,0.6,0.13,0.06,0.01
5,1000,2000,0.6,0.13,0.08,0.01
6,1000,2000,0.6,0.13,0.11,0.01
7,1000,2000,0.6,0.13,0.12,0.01
8,1000,2000,0.6,0.13,0.11,0.02
9,1000,2000,0.6,0.13,0.15,0.01
10,1000,2000,0.6,0.13,0.14,0.01
1,1000,3000,0.97,0.8,0.03,0
2,1000,3000,0.97,0.8,0.16,0.01
3,1000,3000,0.97,0.8,0.33,0.02
4,1000,3000,0.97,0.8,0.49,0.04
5,1000,3000,0.97,0.8,0.5,0.04
6,1000,3000,0.97,0.8,0.49,0.02
7,1000,3000,0.97,0.8,0.51,0.01
8,1000,3000,0.97,0.8,0.49,0.04
9,1000,3000,0.97,0.8,0.51,0.02
10,1000,3000,0.97,0.8,0.54,0.03
1,1000,3000,0.92,0.61,0.04,0.01
2,1000,3000,0.92,0.61,0.11,0.01
3,1000,3000,0.92,0.61,0.25,0.01
4,1000,3000,0.92,0.61,0.33,0.03
5,1000,3000,0.92,0.61,0.41,0.01
6,1000,3000,0.92,0.61,0.39,0.02
7,1000,3000,0.92,0.61,0.4,0.01
8,1000,3000,0.92,0.61,0.42,0.05
9,1000,3000,0.92,0.61,0.43,0.02
10,1000,3000,0.92,0.61,0.43,0.04
1,1000,3000,0.95,0.71,0.03,0
2,1000,3000,0.95,0.71,0.14,0.01
3,1000,3000,0.95,0.71,0.3,0.02
4,1000,3000,0.95,0.71,0.38,0.04
5,1000,3000,0.95,0.71,0.43,0.02
6,1000,3000,0.95,0.71,0.49,0.03
7,1000,3000,0.95,0.71,0.47,0.02
8,1000,3000,0.95,0.71,0.47,0.02
9,1000,3000,0.95,0.71,0.47,0.03
10,1000,3000,0.95,0.71,0.49,0.04
1,1000,3000,0.99,0.91,0.03,0
2,1000,3000,0.99,0.91,0.2,0.02
3,1000,3000,0.99,0.91,0.43,0.02
4,1000,3000,0.99,0.91,0.51,0.06
5,1000,3000,0.99,0.91,0.52,0.02
6,1000,3000,0.99,0.91,0.55,0.04
7,1000,3000,0.99,0.91,0.56,0.04
8,1000,3000,0.99,0.91,0.58,0.01
9,1000,3000,0.99,0.91,0.58,0.03
10,1000,3000,0.99,0.91,0.6,0.02
1,1000,3000,0.9,0.55,0.03,0.01
2,1000,3000,0.9,0.55,0.1,0
3,1000,3000,0.9,0.55,0.25,0.02
4,1000,3000,0.9,0.55,0.33,0.01
5,1000,3000,0.9,0.55,0.39,0.02
6,1000,3000,0.9,0.55,0.36,0.03
7,1000,3000,0.9,0.55,0.36,0.04
8,1000,3000,0.9,0.55,0.38,0.02
9,1000,3000,0.9,0.55,0.38,0.03
10,1000,3000,0.9,0.55,0.4,0.03
1,1000,3000,0.85,0.43,0.03,0.01
2,1000,3000,0.85,0.43,0.08,0
3,1000,3000,0.85,0.43,0.19,0.03
4,1000,3000,0.85,0.43,0.3,0.02
5,1000,3000,0.85,0.43,0.31,0.02
6,1000,3000,0.85,0.43,0.31,0.01
7,1000,3000,0.85,0.43,0.31,0.02
8,1000,3000,0.85,0.43,0.33,0.02
9,1000,3000,0.85,0.43,0.34,0.02
10,1000,3000,0.85,0.43,0.37,0.02
1,1000,3000,0.7,0.22,0.03,0.01
2,1000,3000,0.7,0.22,0.06,0
3,1000,3000,0.7,0.22,0.11,0.01
4,1000,3000,0.7,0.22,0.16,0.01
5,1000,3000,0.7,0.22,0.18,0.01
6,1000,3000,0.7,0.22,0.18,0.01
7,1000,3000,0.7,0.22,0.18,0.02
8,1000,3000,0.7,0.22,0.2,0.01
9,1000,3000,0.7,0.22,0.2,0.01
10,1000,3000,0.7,0.22,0.22,0.02
1,1000,3000,0.6,0.13,0.03,0.01
2,1000,3000,0.6,0.13,0.05,0.01
3,1000,3000,0.6,0.13,0.08,0.01
4,1000,3000,0.6,0.13,0.1,0.01
5,1000,3000,0.6,0.13,0.12,0.02
6,1000,3000,0.6,0.13,0.12,0.02
7,1000,3000,0.6,0.13,0.12,0.01
8,1000,3000,0.6,0.13,0.13,0.02
9,1000,3000,0.6,0.13,0.13,0.01
10,1000,3000,0.6,0.13,0.14,0.01
1,1000,4000,0.97,0.8,0.03,0.01
2,1000,4000,0.97,0.8,0.15,0.02
3,1000,4000,0.97,0.8,0.42,0.03
4,1000,4000,0.97,0.8,0.52,0.01
5,1000,4000,0.97,0.8,0.5,0.04
6,1000,4000,0.97,0.8,0.52,0.02
7,1000,4000,0.97,0.8,0.52,0.08
8,1000,4000,0.97,0.8,0.59,0.02
9,1000,4000,0.97,0.8,0.61,0.01
10,1000,4000,0.97,0.8,0.62,0.03
1,1000,4000,0.92,0.61,0.03,0
2,1000,4000,0.92,0.61,0.11,0.01
3,1000,4000,0.92,0.61,0.31,0.02
4,1000,4000,0.92,0.61,0.41,0.03
5,1000,4000,0.92,0.61,0.43,0.01
6,1000,4000,0.92,0.61,0.43,0.03
7,1000,4000,0.92,0.61,0.46,0.02
8,1000,4000,0.92,0.61,0.51,0.02
9,1000,4000,0.92,0.61,0.55,0.02
10,1000,4000,0.92,0.61,0.55,0.01
1,1000,4000,0.95,0.71,0.03,0.01
2,1000,4000,0.95,0.71,0.14,0.02
3,1000,4000,0.95,0.71,0.37,0.02
4,1000,4000,0.95,0.71,0.45,0.03
5,1000,4000,0.95,0.71,0.45,0.03
6,1000,4000,0.95,0.71,0.45,0.02
7,1000,4000,0.95,0.71,0.49,0.01
8,1000,4000,0.95,0.71,0.55,0.02
9,1000,4000,0.95,0.71,0.56,0.03
10,1000,4000,0.95,0.71,0.6,0.02
1,1000,4000,0.99,0.91,0.03,0.01
2,1000,4000,0.99,0.91,0.19,0.02
3,1000,4000,0.99,0.91,0.47,0.04
4,1000,4000,0.99,0.91,0.52,0.05
5,1000,4000,0.99,0.91,0.57,0.04
6,1000,4000,0.99,0.91,0.59,0.01
7,1000,4000,0.99,0.91,0.63,0.02
8,1000,4000,0.99,0.91,0.67,0.02
9,1000,4000,0.99,0.91,0.69,0.01
10,1000,4000,0.99,0.91,0.67,0.07
1,1000,4000,0.9,0.55,0.03,0.01
2,1000,4000,0.9,0.55,0.11,0.02
3,1000,4000,0.9,0.55,0.31,0.02
4,1000,4000,0.9,0.55,0.34,0.04
5,1000,4000,0.9,0.55,0.36,0.03
6,1000,4000,0.9,0.55,0.39,0.02
7,1000,4000,0.9,0.55,0.42,0.05
8,1000,4000,0.9,0.55,0.47,0.01
9,1000,4000,0.9,0.55,0.5,0.03
10,1000,4000,0.9,0.55,0.53,0.02
1,1000,4000,0.85,0.43,0.04,0
2,1000,4000,0.85,0.43,0.09,0.01
3,1000,4000,0.85,0.43,0.27,0.04
4,1000,4000,0.85,0.43,0.32,0.03
5,1000,4000,0.85,0.43,0.33,0.02
6,1000,4000,0.85,0.43,0.35,0.03
7,1000,4000,0.85,0.43,0.37,0.01
8,1000,4000,0.85,0.43,0.41,0.02
9,1000,4000,0.85,0.43,0.44,0.02
10,1000,4000,0.85,0.43,0.43,0.02
1,1000,4000,0.7,0.22,0.03,0
2,1000,4000,0.7,0.22,0.07,0
3,1000,4000,0.7,0.22,0.14,0.01
4,1000,4000,0.7,0.22,0.17,0.02
5,1000,4000,0.7,0.22,0.19,0.01
6,1000,4000,0.7,0.22,0.2,0.02
7,1000,4000,0.7,0.22,0.21,0.01
8,1000,4000,0.7,0.22,0.23,0.01
9,1000,4000,0.7,0.22,0.27,0.01
10,1000,4000,0.7,0.22,0.28,0.03
1,1000,4000,0.6,0.13,0.03,0
2,1000,4000,0.6,0.13,0.05,0
3,1000,4000,0.6,0.13,0.11,0.01
4,1000,4000,0.6,0.13,0.13,0.01
5,1000,4000,0.6,0.13,0.14,0.02
6,1000,4000,0.6,0.13,0.15,0.01
7,1000,4000,0.6,0.13,0.16,0.02
8,1000,4000,0.6,0.13,0.16,0.01
9,1000,4000,0.6,0.13,0.18,0.01
10,1000,4000,0.6,0.13,0.18,0.02
1,1000,5000,0.97,0.8,0.03,0
2,1000,5000,0.97,0.8,0.27,0.01
3,1000,5000,0.97,0.8,0.46,0.03
4,1000,5000,0.97,0.8,0.49,0.01
5,1000,5000,0.97,0.8,0.52,0.03
6,1000,5000,0.97,0.8,0.55,0.01
7,1000,5000,0.97,0.8,0.57,0.02
8,1000,5000,0.97,0.8,0.61,0.06
9,1000,5000,0.97,0.8,0.64,0.03
10,1000,5000,0.97,0.8,0.58,0.13
1,1000,5000,0.92,0.61,0.03,0
2,1000,5000,0.92,0.61,0.19,0.01
3,1000,5000,0.92,0.61,0.36,0.02
4,1000,5000,0.92,0.61,0.4,0.02
5,1000,5000,0.92,0.61,0.43,0.01
6,1000,5000,0.92,0.61,0.45,0.03
7,1000,5000,0.92,0.61,0.51,0.02
8,1000,5000,0.92,0.61,0.51,0.01
9,1000,5000,0.92,0.61,0.57,0.01
10,1000,5000,0.92,0.61,0.54,0.02
1,1000,5000,0.95,0.71,0.03,0.01
2,1000,5000,0.95,0.71,0.24,0.01
3,1000,5000,0.95,0.71,0.41,0.01
4,1000,5000,0.95,0.71,0.44,0.02
5,1000,5000,0.95,0.71,0.48,0.03
6,1000,5000,0.95,0.71,0.51,0.02
7,1000,5000,0.95,0.71,0.55,0.03
8,1000,5000,0.95,0.71,0.56,0.03
9,1000,5000,0.95,0.71,0.54,0.09
10,1000,5000,0.95,0.71,0.59,0.02
1,1000,5000,0.99,0.91,0.03,0.01
2,1000,5000,0.99,0.91,0.33,0.01
3,1000,5000,0.99,0.91,0.54,0.02
4,1000,5000,0.99,0.91,0.59,0.02
5,1000,5000,0.99,0.91,0.58,0.01
6,1000,5000,0.99,0.91,0.55,0.11
7,1000,5000,0.99,0.91,0.64,0.02
8,1000,5000,0.99,0.91,0.7,0.03
9,1000,5000,0.99,0.91,0.71,0
10,1000,5000,0.99,0.91,0.65,0.13
1,1000,5000,0.9,0.55,0.03,0.01
2,1000,5000,0.9,0.55,0.17,0.01
3,1000,5000,0.9,0.55,0.33,0.01
4,1000,5000,0.9,0.55,0.35,0.03
5,1000,5000,0.9,0.55,0.39,0.02
6,1000,5000,0.9,0.55,0.41,0.02
7,1000,5000,0.9,0.55,0.47,0.03
8,1000,5000,0.9,0.55,0.48,0.03
9,1000,5000,0.9,0.55,0.51,0.03
10,1000,5000,0.9,0.55,0.49,0.04
1,1000,5000,0.85,0.43,0.03,0.01
2,1000,5000,0.85,0.43,0.17,0.01
3,1000,5000,0.85,0.43,0.3,0.02
4,1000,5000,0.85,0.43,0.32,0.01
5,1000,5000,0.85,0.43,0.35,0.01
6,1000,5000,0.85,0.43,0.37,0.02
7,1000,5000,0.85,0.43,0.42,0.03
8,1000,5000,0.85,0.43,0.43,0.02
9,1000,5000,0.85,0.43,0.44,0.03
10,1000,5000,0.85,0.43,0.43,0.05
1,1000,5000,0.7,0.22,0.03,0
2,1000,5000,0.7,0.22,0.11,0
3,1000,5000,0.7,0.22,0.17,0.01
4,1000,5000,0.7,0.22,0.18,0.03
5,1000,5000,0.7,0.22,0.2,0.01
6,1000,5000,0.7,0.22,0.2,0.01
7,1000,5000,0.7,0.22,0.25,0.01
8,1000,5000,0.7,0.22,0.26,0.01
9,1000,5000,0.7,0.22,0.27,0.03
10,1000,5000,0.7,0.22,0.28,0.02
1,1000,5000,0.6,0.13,0.03,0
2,1000,5000,0.6,0.13,0.08,0
3,1000,5000,0.6,0.13,0.1,0.01
4,1000,5000,0.6,0.13,0.15,0.02
5,1000,5000,0.6,0.13,0.15,0.01
6,1000,5000,0.6,0.13,0.17,0.01
7,1000,5000,0.6,0.13,0.17,0.01
8,1000,5000,0.6,0.13,0.17,0.02
9,1000,5000,0.6,0.13,0.19,0.01
10,1000,5000,0.6,0.13,0.19,0.01
1,1000,6000,0.97,0.8,0.03,0.01
2,1000,6000,0.97,0.8,0.37,0.01
3,1000,6000,0.97,0.8,0.5,0
4,1000,6000,0.97,0.8,0.53,0.03
5,1000,6000,0.97,0.8,0.57,0.03
6,1000,6000,0.97,0.8,0.61,0.02
7,1000,6000,0.97,0.8,0.64,0.02
8,1000,6000,0.97,0.8,0.63,0.04
9,1000,6000,0.97,0.8,0.64,0.07
10,1000,6000,0.97,0.8,0.68,0.03
1,1000,6000,0.92,0.61,0.03,0.01
2,1000,6000,0.92,0.61,0.28,0.01
3,1000,6000,0.92,0.61,0.42,0.02
4,1000,6000,0.92,0.61,0.45,0.02
5,1000,6000,0.92,0.61,0.47,0.04
6,1000,6000,0.92,0.61,0.53,0.01
7,1000,6000,0.92,0.61,0.56,0.02
8,1000,6000,0.92,0.61,0.53,0.04
9,1000,6000,0.92,0.61,0.56,0.03
10,1000,6000,0.92,0.61,0.54,0.11
1,1000,6000,0.95,0.71,0.03,0
2,1000,6000,0.95,0.71,0.33,0.02
3,1000,6000,0.95,0.71,0.48,0.02
4,1000,6000,0.95,0.71,0.52,0.01
5,1000,6000,0.95,0.71,0.5,0.02
6,1000,6000,0.95,0.71,0.58,0.02
7,1000,6000,0.95,0.71,0.6,0.02
8,1000,6000,0.95,0.71,0.58,0.03
9,1000,6000,0.95,0.71,0.55,0.19
10,1000,6000,0.95,0.71,0.62,0.03
1,1000,6000,0.99,0.91,0.03,0
2,1000,6000,0.99,0.91,0.42,0.02
3,1000,6000,0.99,0.91,0.58,0.02
4,1000,6000,0.99,0.91,0.61,0.03
5,1000,6000,0.99,0.91,0.63,0.01
6,1000,6000,0.99,0.91,0.68,0.02
7,1000,6000,0.99,0.91,0.7,0
8,1000,6000,0.99,0.91,0.71,0.02
9,1000,6000,0.99,0.91,0.73,0.02
10,1000,6000,0.99,0.91,0.74,0.01
1,1000,6000,0.9,0.55,0.03,0.01
2,1000,6000,0.9,0.55,0.26,0.02
3,1000,6000,0.9,0.55,0.38,0.01
4,1000,6000,0.9,0.55,0.37,0.02
5,1000,6000,0.9,0.55,0.42,0.02
6,1000,6000,0.9,0.55,0.47,0.01
7,1000,6000,0.9,0.55,0.52,0.03
8,1000,6000,0.9,0.55,0.5,0.04
9,1000,6000,0.9,0.55,0.52,0.03
10,1000,6000,0.9,0.55,0.54,0.06
1,1000,6000,0.85,0.43,0.03,0
2,1000,6000,0.85,0.43,0.25,0.01
3,1000,6000,0.85,0.43,0.35,0.01
4,1000,6000,0.85,0.43,0.36,0.03
5,1000,6000,0.85,0.43,0.36,0.02
6,1000,6000,0.85,0.43,0.44,0.02
7,1000,6000,0.85,0.43,0.47,0.01
8,1000,6000,0.85,0.43,0.44,0.01
9,1000,6000,0.85,0.43,0.48,0.03
10,1000,6000,0.85,0.43,0.49,0.03
1,1000,6000,0.7,0.22,0.03,0
2,1000,6000,0.7,0.22,0.15,0.01
3,1000,6000,0.7,0.22,0.18,0.02
4,1000,6000,0.7,0.22,0.18,0.01
5,1000,6000,0.7,0.22,0.23,0.02
6,1000,6000,0.7,0.22,0.25,0.01
7,1000,6000,0.7,0.22,0.26,0.03
8,1000,6000,0.7,0.22,0.27,0.03
9,1000,6000,0.7,0.22,0.27,0.03
10,1000,6000,0.7,0.22,0.32,0.02
1,1000,6000,0.6,0.13,0.03,0
2,1000,6000,0.6,0.13,0.09,0.01
3,1000,6000,0.6,0.13,0.12,0.01
4,1000,6000,0.6,0.13,0.13,0.01
5,1000,6000,0.6,0.13,0.14,0.01
6,1000,6000,0.6,0.13,0.18,0.01
7,1000,6000,0.6,0.13,0.18,0.02
8,1000,6000,0.6,0.13,0.18,0.01
9,1000,6000,0.6,0.13,0.19,0.02
10,1000,6000,0.6,0.13,0.21,0.02
1,2000,2000,0.92,0.61,0.07,0
2,2000,2000,0.92,0.61,0.14,0.02
3,2000,2000,0.92,0.61,0.21,0.02
4,2000,2000,0.92,0.61,0.28,0.03
5,2000,2000,0.92,0.61,0.34,0.02
6,2000,2000,0.92,0.61,0.39,0.02
7,2000,2000,0.92,0.61,0.39,0.05
8,2000,2000,0.92,0.61,0.35,0.05
9,2000,2000,0.92,0.61,0.38,0.02
10,2000,2000,0.92,0.61,0.38,0.02
1,2000,2000,0.95,0.71,0.07,0
2,2000,2000,0.95,0.71,0.16,0.02
3,2000,2000,0.95,0.71,0.25,0.02
4,2000,2000,0.95,0.71,0.32,0.02
5,2000,2000,0.95,0.71,0.39,0.01
6,2000,2000,0.95,0.71,0.43,0.01
7,2000,2000,0.95,0.71,0.45,0.01
8,2000,2000,0.95,0.71,0.43,0.02
9,2000,2000,0.95,0.71,0.42,0.03
10,2000,2000,0.95,0.71,0.44,0.02
1,2000,2000,0.99,0.91,0.07,0.01
2,2000,2000,0.99,0.91,0.21,0.02
3,2000,2000,0.99,0.91,0.36,0.03
4,2000,2000,0.99,0.91,0.45,0.02
5,2000,2000,0.99,0.91,0.47,0.03
6,2000,2000,0.99,0.91,0.52,0.03
7,2000,2000,0.99,0.91,0.54,0.03
8,2000,2000,0.99,0.91,0.53,0.01
9,2000,2000,0.99,0.91,0.53,0.02
10,2000,2000,0.99,0.91,0.53,0.02
1,2000,2000,0.9,0.55,0.07,0
2,2000,2000,0.9,0.55,0.14,0.01
3,2000,2000,0.9,0.55,0.2,0.03
4,2000,2000,0.9,0.55,0.28,0.03
5,2000,2000,0.9,0.55,0.34,0.04
6,2000,2000,0.9,0.55,0.38,0.03
7,2000,2000,0.9,0.55,0.37,0.03
8,2000,2000,0.9,0.55,0.38,0.03
9,2000,2000,0.9,0.55,0.38,0.03
10,2000,2000,0.9,0.55,0.39,0.03
1,2000,2000,0.85,0.43,0.06,0.01
2,2000,2000,0.85,0.43,0.11,0.01
3,2000,2000,0.85,0.43,0.16,0.02
4,2000,2000,0.85,0.43,0.22,0.02
5,2000,2000,0.85,0.43,0.32,0.02
6,2000,2000,0.85,0.43,0.32,0.03
7,2000,2000,0.85,0.43,0.31,0.02
8,2000,2000,0.85,0.43,0.32,0.02
9,2000,2000,0.85,0.43,0.33,0.02
10,2000,2000,0.85,0.43,0.34,0.01
1,2000,2000,0.7,0.22,0.07,0.01
2,2000,2000,0.7,0.22,0.08,0.01
3,2000,2000,0.7,0.22,0.11,0.02
4,2000,2000,0.7,0.22,0.17,0.02
5,2000,2000,0.7,0.22,0.22,0.01
6,2000,2000,0.7,0.22,0.23,0.01
7,2000,2000,0.7,0.22,0.24,0.01
8,2000,2000,0.7,0.22,0.22,0.01
9,2000,2000,0.7,0.22,0.23,0.02
10,2000,2000,0.7,0.22,0.22,0.01
1,2000,2000,0.6,0.13,0.07,0.01
2,2000,2000,0.6,0.13,0.07,0
3,2000,2000,0.6,0.13,0.08,0.01
4,2000,2000,0.6,0.13,0.13,0.01
5,2000,2000,0.6,0.13,0.17,0.01
6,2000,2000,0.6,0.13,0.14,0.03
7,2000,2000,0.6,0.13,0.14,0.01
8,2000,2000,0.6,0.13,0.15,0.02
9,2000,2000,0.6,0.13,0.14,0.01
10,2000,2000,0.6,0.13,0.15,0.01
1,2000,3000,0.97,0.8,0.07,0
2,2000,3000,0.97,0.8,0.31,0.02
3,2000,3000,0.97,0.8,0.39,0.07
4,2000,3000,0.97,0.8,0.48,0.02
5,2000,3000,0.97,0.8,0.51,0.03
6,2000,3000,0.97,0.8,0.51,0.04
7,2000,3000,0.97,0.8,0.57,0.03
8,2000,3000,0.97,0.8,0.59,0.02
9,2000,3000,0.97,0.8,0.61,0.02
10,2000,3000,0.97,0.8,0.64,0.03
1,2000,3000,0.92,0.61,0.07,0.01
2,2000,3000,0.92,0.61,0.15,0.02
3,2000,3000,0.92,0.61,0.27,0.01
4,2000,3000,0.92,0.61,0.33,0.03
5,2000,3000,0.92,0.61,0.37,0.03
6,2000,3000,0.92,0.61,0.39,0.01
7,2000,3000,0.92,0.61,0.38,0.03
8,2000,3000,0.92,0.61,0.41,0.03
9,2000,3000,0.92,0.61,0.43,0.04
10,2000,3000,0.92,0.61,0.46,0.02
1,2000,3000,0.95,0.71,0.07,0
2,2000,3000,0.95,0.71,0.2,0.02
3,2000,3000,0.95,0.71,0.32,0.02
4,2000,3000,0.95,0.71,0.37,0.03
5,2000,3000,0.95,0.71,0.39,0.03
6,2000,3000,0.95,0.71,0.41,0.01
7,2000,3000,0.95,0.71,0.44,0.03
8,2000,3000,0.95,0.71,0.43,0.02
9,2000,3000,0.95,0.71,0.46,0.03
10,2000,3000,0.95,0.71,0.52,0.03
1,2000,3000,0.99,0.91,0.07,0.01
2,2000,3000,0.99,0.91,0.25,0.01
3,2000,3000,0.99,0.91,0.41,0.01
4,2000,3000,0.99,0.91,0.44,0.04
5,2000,3000,0.99,0.91,0.5,0.03
6,2000,3000,0.99,0.91,0.53,0.02
7,2000,3000,0.99,0.91,0.56,0.02
8,2000,3000,0.99,0.91,0.56,0.06
9,2000,3000,0.99,0.91,0.57,0.02
10,2000,3000,0.99,0.91,0.6,0.01
1,2000,3000,0.9,0.55,0.07,0
2,2000,3000,0.9,0.55,0.14,0.01
3,2000,3000,0.9,0.55,0.27,0.02
4,2000,3000,0.9,0.55,0.31,0.01
5,2000,3000,0.9,0.55,0.33,0.01
6,2000,3000,0.9,0.55,0.34,0.04
7,2000,3000,0.9,0.55,0.37,0.03
